brand,model,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price
datsun,redigo,3,27263,individual,petrol,manual,22.5,999,68.0,5,350000.0
hyundai,verna,7,110000,individual,diesel,manual,22.32,1582,126.3,5,520000.0
hyundai,i20,5,70000,individual,diesel,manual,22.54,1396,88.73,5,750000.0
maruti,swift dzire,4,70000,individual,diesel,manual,26.59,1248,74.0,5,560000.0
hyundai,i20,2,39000,dealer,petrol,manual,18.6,1197,81.83,5,655000.0
hyundai,santro,14,56000,dealer,petrol,manual,17.8,1086,63.0,5,125000.0
hyundai,i20,3,34000,individual,petrol,manual,18.6,1197,81.83,5,550000.0
mahindra,scorpio,4,50000,individual,diesel,manual,15.4,1997,120.0,7,1150000.0
volkswagen,vento,9,77400,individual,diesel,manual,20.54,1598,103.6,5,500000.0
mahindra,marazzo,2,36000,individual,diesel,manual,17.3,1497,121.0,7,990000.0
hyundai,verna,8,47876,dealer,diesel,manual,25.0,1493,113.42,5,551000.0
mahindra,xuv500,3,21500,individual,diesel,automatic,15.1,2179,152.87,7,1650000.0
hyundai,grand,6,75000,dealer,diesel,manual,24.0,1120,70.0,5,350000.0
ford,aspire,4,58000,dealer,petrol,manual,18.16,1196,86.8,5,500000.0
maruti,swift dzire,3,30000,individual,petrol,manual,21.21,1197,81.8,5,575000.0
hyundai,grand,3,50000,individual,diesel,manual,24.0,1186,73.97,5,545000.0
ford,figo,4,19093,trustmark dealer,petrol,manual,18.16,1196,86.8,5,525000.0
honda,amaze,7,50000,individual,petrol,manual,18.0,1198,86.7,5,400000.0
maruti,wagon r,15,37000,dealer,petrol,manual,14.0,1061,64.0,5,155000.0
maruti,swift dzire,5,47000,dealer,diesel,manual,26.59,1248,74.0,5,545000.0
honda,city,8,70000,individual,petrol,manual,16.8,1497,116.3,5,545000.0
renault,kwid,5,25000,individual,petrol,manual,25.17,799,53.3,5,240000.0
maruti,vitara,3,26000,dealer,diesel,manual,24.3,1248,88.5,5,725000.0
ford,aspire,4,30000,individual,petrol,manual,18.16,1196,86.8,5,480000.0
hyundai,i20,8,15000,individual,petrol,manual,18.5,1197,82.9,5,375000.0
maruti,swift,10,160000,individual,diesel,manual,17.8,1248,75.0,5,225000.0
tata,tiago,4,32100,individual,petrol,manual,23.84,1199,84.0,5,400000.0
hyundai,i20,5,22000,dealer,petrol,manual,18.5,1197,82.9,5,550000.0
mahindra,scorpio,5,44000,dealer,diesel,manual,15.4,2179,120.0,7,1050000.0
volkswagen,polo,5,78000,dealer,petrol,manual,18.78,1198,74.0,5,450000.0
mercedes-benz,c-class,9,74352,dealer,petrol,automatic,11.74,1796,186.0,5,775000.0
maruti,wagon r,7,37000,individual,petrol,manual,20.51,998,67.04,5,350000.0
honda,city,7,69000,dealer,diesel,manual,25.1,1498,98.6,5,550000.0
kia,seltos,2,12120,individual,petrol,manual,16.8,1497,113.4,5,1080000.0
maruti,baleno,5,52000,dealer,petrol,manual,21.01,1197,81.8,5,575000.0
toyota,innova,5,120000,individual,diesel,manual,12.99,2494,100.6,8,950000.0
maruti,alto,8,55000,individual,petrol,manual,22.74,796,47.3,5,230000.0
hyundai,i20,10,160000,individual,diesel,manual,21.9,1396,90.0,5,270000.0
ford,figo,10,40000,individual,petrol,manual,15.6,1196,70.0,5,130000.0
maruti,swift dzire,9,46000,dealer,petrol,manual,19.1,1197,85.8,5,370000.0
maruti,baleno,4,25000,dealer,petrol,manual,21.4,1197,83.1,5,570000.0
volkswagen,polo,8,90000,dealer,diesel,manual,22.07,1199,73.9,5,365000.0
hyundai,i20,9,49566,dealer,petrol,manual,18.5,1197,82.85,5,280000.0
hyundai,verna,3,14000,dealer,diesel,automatic,22.0,1582,126.2,5,1250000.0
hyundai,i20,5,11000,dealer,petrol,manual,18.6,1197,81.83,5,590000.0
maruti,celerio,3,5000,individual,petrol,automatic,23.1,998,67.04,5,475000.0
ford,ecosport,4,55000,dealer,diesel,manual,23.0,1498,98.96,5,685000.0
hyundai,verna,9,65000,dealer,diesel,automatic,19.08,1582,126.32,5,380000.0
renault,kwid,3,22000,individual,petrol,manual,23.01,999,67.0,5,330000.0
maruti,baleno,3,7671,trustmark dealer,petrol,manual,21.01,1197,81.8,5,650000.0
maruti,wagon r,5,66000,individual,petrol,manual,20.51,998,67.04,5,325000.0
maruti,swift dzire,3,45156,dealer,petrol,automatic,21.21,1197,81.8,5,640000.0
hyundai,venue,2,25000,individual,petrol,manual,18.27,998,118.35,5,949000.0
hyundai,verna,6,120000,individual,diesel,manual,23.9,1582,126.2,5,660000.0
maruti,swift,7,28000,dealer,petrol,manual,16.1,1197,85.0,5,435000.0
hyundai,i20,8,55000,dealer,diesel,manual,21.9,1396,88.76,5,385000.0
hyundai,verna,2,14000,dealer,diesel,automatic,22.0,1582,126.2,5,1250000.0
maruti,wagon r,12,98780,dealer,petrol,manual,18.9,998,67.1,5,155000.0
maruti,swift,6,58000,dealer,diesel,manual,25.2,1248,74.0,5,415000.0
maruti,alto,10,30000,individual,petrol,manual,20.92,998,67.1,5,251000.0
mahindra,scorpio,5,46400,dealer,diesel,manual,15.4,2179,120.0,7,1150000.0
hyundai,i10,7,32111,trustmark dealer,petrol,manual,19.81,1086,68.05,5,310000.0
datsun,go,6,35000,individual,petrol,manual,19.44,1198,67.0,7,350000.0
mahindra,scorpio,4,30000,dealer,diesel,manual,15.4,1997,120.0,7,1125000.0
bmw,5,5,63000,dealer,diesel,automatic,18.59,2993,261.49,5,2600000.0
datsun,go,3,10000,individual,petrol,manual,20.62,1198,67.0,7,480000.0
maruti,swift dzire,4,25000,individual,diesel,automatic,28.4,1248,74.02,5,850000.0
hyundai,creta,4,102000,dealer,diesel,automatic,17.01,1582,126.2,5,1100000.0
maruti,swift,3,35000,dealer,petrol,manual,22.0,1197,81.8,5,575000.0
maruti,swift dzire,9,49948,dealer,petrol,manual,17.5,1298,85.8,5,340000.0
ford,ecosport,3,55000,individual,diesel,manual,23.0,1498,98.96,5,925000.0
hyundai,grand,6,36000,dealer,petrol,manual,18.9,1197,82.0,5,400000.0
honda,city,5,49625,dealer,petrol,manual,17.8,1497,117.3,5,725000.0
maruti,swift dzire,7,35000,individual,diesel,manual,23.4,1248,74.0,5,600000.0
mahindra,scorpio,8,95000,individual,diesel,manual,12.05,2179,120.0,8,550000.0
ford,aspire,4,36000,dealer,diesel,manual,25.83,1498,99.0,5,585000.0
maruti,wagon r,2,50000,individual,petrol,manual,21.79,998,67.05,5,411000.0
maruti,swift dzire,6,26500,individual,petrol,manual,20.85,1197,83.14,5,450000.0
honda,cr-v,6,80000,dealer,petrol,automatic,13.7,1997,153.86,5,1290000.0
volkswagen,polo,6,46000,dealer,petrol,manual,16.47,1198,74.0,5,455000.0
hyundai,grand,2,9000,individual,petrol,manual,20.7,1197,81.86,5,710000.0
honda,city,5,53000,dealer,petrol,manual,16.8,1497,116.3,5,770000.0
ford,endeavour,3,11387,individual,diesel,automatic,10.91,3198,197.0,7,2900000.0
honda,amaze,3,50000,individual,diesel,manual,25.8,1498,98.6,5,720000.0
mahindra,kuv,5,52000,dealer,diesel,manual,25.32,1198,77.0,5,375000.0
datsun,go,6,35000,individual,petrol,manual,19.44,1198,67.0,7,400000.0
renault,duster,6,48000,individual,diesel,manual,19.87,1461,83.8,5,600000.0
honda,jazz,3,18000,individual,petrol,manual,18.7,1199,88.7,5,600000.0
maruti,wagon r,9,57413,individual,lpg,manual,14.4,998,61.7,5,270000.0
hyundai,i20,6,30000,individual,petrol,manual,18.6,1197,81.83,5,500000.0
hyundai,verna,6,55000,dealer,diesel,manual,23.9,1582,126.2,5,650000.0
maruti,swift,3,10000,individual,petrol,automatic,21.21,1197,81.8,5,660000.0
bmw,3,5,68000,dealer,diesel,automatic,22.69,1995,190.0,5,2090000.0
kia,seltos,1,8000,dealer,petrol,manual,16.8,1497,113.4,5,1275000.0
maruti,swift,6,65000,dealer,diesel,manual,28.4,1248,74.0,5,495000.0
hyundai,grand,5,25000,individual,petrol,manual,18.9,1197,82.0,5,475000.0
maruti,ciaz,6,70000,individual,petrol,manual,20.73,1373,91.1,5,530000.0
tata,tiago,5,9500,individual,petrol,manual,23.84,1199,84.0,5,530000.0
hyundai,verna,6,9100,individual,petrol,manual,17.01,1591,121.3,5,650000.0
honda,city,11,86000,dealer,petrol,manual,17.0,1497,118.0,5,335000.0
audi,a4,8,78000,dealer,diesel,automatic,16.55,1968,147.51,5,1290000.0
ford,figo,10,60000,individual,diesel,manual,20.0,1399,68.0,5,300000.0
maruti,wagon r,2,7883,trustmark dealer,petrol,automatic,21.5,1197,81.8,5,550000.0
maruti,swift dzire,8,50205,trustmark dealer,diesel,manual,23.4,1248,74.0,5,390000.0
mahindra,bolero,13,220000,individual,diesel,manual,13.6,2523,63.0,7,260000.0
tata,tigor,4,58000,dealer,diesel,manual,24.7,1047,69.0,5,395000.0
mahindra,scorpio,9,170000,individual,diesel,manual,12.05,2179,120.0,8,550000.0
maruti,swift dzire,3,15000,individual,petrol,manual,22.0,1197,81.8,5,650000.0
maruti,swift,5,71245,dealer,diesel,manual,28.4,1248,74.0,5,375000.0
kia,seltos,2,7000,individual,petrol,manual,16.1,1353,138.0,5,1300000.0
maruti,alto,3,20000,individual,petrol,manual,23.95,998,67.05,5,360000.0
maruti,celerio,1,8700,individual,petrol,manual,21.63,998,67.04,5,505000.0
maruti,alto,2,25000,individual,petrol,manual,24.7,796,47.3,5,310000.0
hyundai,i20,6,42000,dealer,petrol,manual,18.6,1197,81.86,5,545000.0
mahindra,bolero,15,120000,individual,diesel,manual,13.6,2523,63.0,7,150000.0
maruti,baleno,3,50000,individual,petrol,manual,21.4,1197,83.1,5,580000.0
maruti,wagon r,10,58000,individual,petrol,manual,18.9,998,67.1,5,250000.0
hyundai,verna,4,36000,individual,petrol,manual,17.43,1396,105.5,5,650000.0
maruti,ertiga,3,30000,individual,diesel,manual,25.47,1248,88.5,7,410000.0
ford,ecosport,6,162828,dealer,diesel,manual,22.77,1498,98.59,5,531000.0
ford,ecosport,3,7500,individual,diesel,manual,23.0,1498,98.96,5,890000.0
tata,safari,5,47227,dealer,diesel,manual,14.0,2179,138.1,7,775000.0
maruti,wagon r,3,52000,dealer,cng,manual,33.54,998,67.04,5,435000.0
ford,figo,9,74000,dealer,diesel,manual,20.0,1399,68.05,5,185000.0
mahindra,bolero,10,47000,dealer,diesel,manual,15.96,2523,62.1,7,440000.0
hyundai,i20,6,50000,individual,petrol,manual,18.6,1197,81.83,5,450000.0
maruti,baleno,4,100000,individual,petrol,manual,21.4,1197,83.1,5,600000.0
maruti,celerio,7,35000,individual,petrol,manual,23.1,998,67.04,5,320000.0
hyundai,i20,5,50000,individual,diesel,manual,21.19,1396,88.73,5,700000.0
ford,aspire,3,10000,individual,petrol,manual,18.16,1196,86.8,5,630000.0
maruti,alto,5,10370,individual,petrol,manual,22.74,796,47.3,5,320000.0
honda,city,8,62000,dealer,petrol,manual,16.8,1497,116.3,5,465000.0
hyundai,i20,5,40000,individual,petrol,manual,18.6,1197,81.83,5,550000.0
maruti,swift,4,60000,individual,petrol,manual,22.0,1197,81.8,5,445000.0
tata,safari,8,67231,dealer,diesel,manual,14.0,2179,138.1,7,705000.0
maruti,wagon r,8,64000,dealer,cng,manual,33.54,998,67.04,5,270000.0
honda,city,7,63000,dealer,diesel,manual,26.0,1498,98.6,5,475000.0
toyota,fortuner,6,80000,individual,diesel,manual,12.55,2982,168.5,7,1755000.0
honda,city,10,55000,dealer,petrol,manual,16.9,1497,100.0,5,350000.0
hyundai,i20,5,11000,dealer,petrol,manual,18.6,1197,81.83,5,575000.0
renault,kwid,4,17000,individual,petrol,manual,23.01,999,67.0,5,360000.0
maruti,alto,4,25000,individual,petrol,manual,24.7,796,47.3,5,275000.0
datsun,go,5,33350,individual,petrol,manual,19.44,1198,67.0,7,320000.0
hyundai,grand,6,62000,dealer,petrol,manual,18.9,1197,82.0,5,370000.0
maruti,swift dzire,12,59000,individual,petrol,manual,17.5,1298,85.8,5,275000.0
honda,city,7,86113,dealer,petrol,manual,17.4,1497,117.3,5,550000.0
maruti,swift dzire,3,10000,individual,diesel,manual,28.4,1248,74.02,5,750000.0
maruti,wagon r,6,92537,individual,petrol,manual,20.51,998,67.04,5,272000.0
maruti,ciaz,2,27645,dealer,diesel,manual,28.09,1248,88.5,5,951000.0
maruti,alto,8,46242,individual,petrol,manual,20.92,998,67.1,5,280000.0
renault,kwid,1,6000,individual,petrol,manual,22.3,799,53.26,5,450000.0
hyundai,i20,4,64000,dealer,petrol,manual,18.6,1197,81.83,5,480000.0
mahindra,scorpio,4,93000,dealer,diesel,manual,15.4,1997,120.0,7,1060000.0
maruti,alto,8,26200,dealer,petrol,manual,22.74,796,47.3,5,235000.0
maruti,baleno,4,25000,individual,petrol,manual,21.4,1197,83.1,5,590000.0
toyota,fortuner,3,50000,dealer,diesel,automatic,12.9,2755,174.5,7,2950000.0
hyundai,santro,13,80000,individual,petrol,manual,17.92,1086,62.1,5,120100.0
mahindra,scorpio,14,110000,individual,diesel,manual,13.5,2179,115.0,5,280000.0
audi,a4,5,55000,dealer,petrol,automatic,17.84,1395,147.51,5,1851000.0
honda,city,3,25000,individual,petrol,manual,17.4,1497,117.3,5,750000.0
hyundai,grand,6,36000,dealer,petrol,manual,18.9,1197,81.86,5,400000.0
maruti,swift dzire,6,40000,individual,diesel,manual,26.59,1248,74.0,5,530000.0
mahindra,thar,3,25000,individual,diesel,manual,16.55,2498,105.0,6,870000.0
renault,kwid,3,30038,dealer,petrol,manual,25.17,799,53.3,5,295000.0
tata,tiago,4,53000,individual,diesel,manual,27.28,1047,69.0,5,370000.0
maruti,swift,3,5000,individual,petrol,manual,21.21,1197,81.8,5,530000.0
renault,kwid,4,35000,individual,petrol,automatic,24.04,999,67.0,5,350000.0
ford,ecosport,8,62000,dealer,diesel,manual,22.7,1498,89.84,5,470000.0
ford,aspire,6,42000,individual,diesel,manual,25.83,1498,99.0,5,390000.0
mahindra,scorpio,6,80000,individual,diesel,manual,15.4,2179,120.0,7,920000.0
mahindra,xuv500,8,60000,individual,diesel,manual,15.1,2179,140.0,7,550000.0
hyundai,verna,7,45000,individual,diesel,manual,22.32,1582,126.32,5,635000.0
mahindra,xuv500,4,50000,dealer,diesel,automatic,16.0,2179,140.0,7,1250000.0
maruti,alto,3,12000,individual,petrol,manual,24.7,796,47.3,5,300000.0
honda,city,3,12000,individual,petrol,automatic,18.0,1497,117.6,5,960000.0
maruti,vitara,3,15000,individual,diesel,manual,24.3,1248,88.5,5,750000.0
volkswagen,polo,10,63000,dealer,petrol,manual,16.47,1198,73.9,5,249000.0
tata,hexa,3,30000,individual,diesel,manual,17.6,2179,153.86,7,1400000.0
ford,figo,10,160800,individual,diesel,manual,20.0,1399,68.0,5,250000.0
hyundai,verna,7,120000,individual,diesel,manual,22.32,1582,126.32,5,610000.0
ford,ecosport,5,78247,dealer,diesel,manual,21.7,1498,98.96,5,545000.0
hyundai,verna,8,113000,individual,diesel,manual,22.32,1582,126.3,5,480000.0
hyundai,i20,7,52000,dealer,petrol,manual,18.6,1197,81.83,5,395000.0
toyota,innova,9,109000,dealer,diesel,manual,12.99,2494,100.6,7,495000.0
hyundai,grand,4,90000,individual,petrol,manual,18.9,1197,82.0,5,470000.0
volkswagen,polo,10,98000,dealer,diesel,manual,22.07,1199,73.9,5,200000.0
hyundai,i20,5,20000,individual,diesel,manual,21.19,1396,88.73,5,699000.0
maruti,wagon r,7,21717,individual,petrol,manual,20.51,998,67.04,5,340000.0
renault,duster,7,40000,individual,diesel,manual,20.45,1461,83.8,5,500000.0
honda,city,4,50000,individual,petrol,manual,17.14,1497,117.6,5,1050000.0
renault,duster,5,90000,individual,diesel,manual,19.6,1461,108.45,5,600000.0
maruti,swift,4,27876,dealer,petrol,manual,20.4,1197,81.8,5,491000.0
land rover,rover,5,56000,dealer,petrol,automatic,12.63,1999,177.0,5,2890000.0
hyundai,i10,13,57215,individual,petrol,manual,20.36,1197,78.9,5,160000.0
hyundai,venue,2,5400,dealer,petrol,manual,18.27,998,118.35,5,985000.0
maruti,swift dzire,7,60000,individual,diesel,manual,23.4,1248,74.0,5,500000.0
tata,tiago,4,24800,individual,petrol,manual,23.84,1199,84.0,5,335000.0
maruti,alto,16,70000,individual,petrol,manual,19.7,796,46.3,5,120100.0
honda,jazz,3,20000,dealer,petrol,automatic,17.1,1199,88.51,5,740000.0
maruti,swift,8,34553,dealer,petrol,manual,22.0,1197,81.8,5,375000.0
maruti,vitara,3,40000,individual,diesel,manual,24.3,1248,88.5,5,810000.0
volkswagen,polo,11,350000,individual,petrol,manual,16.47,1198,73.9,5,173000.0
maruti,vitara,4,50000,individual,diesel,manual,24.3,1248,88.5,5,700000.0
mahindra,kuv,5,70000,individual,diesel,manual,25.32,1198,77.0,6,310000.0
mahindra,scorpio,4,120000,individual,diesel,manual,15.4,1997,120.0,7,850000.0
hyundai,i20,8,90000,individual,diesel,manual,22.54,1396,88.76,5,285000.0
maruti,swift dzire,7,120000,individual,diesel,manual,23.4,1248,74.0,5,450000.0
hyundai,creta,4,80000,individual,diesel,manual,19.67,1582,126.2,5,1100000.0
mahindra,scorpio,4,30000,individual,diesel,manual,15.4,1997,120.0,7,1080000.0
honda,city,7,66100,dealer,diesel,manual,26.0,1498,98.6,5,530000.0
maruti,swift dzire,4,50000,individual,diesel,manual,28.4,1248,74.02,5,680000.0
mahindra,scorpio,4,42000,dealer,diesel,manual,15.4,1997,120.0,7,1025000.0
hyundai,i20,4,55000,individual,petrol,manual,18.6,1197,81.83,5,650000.0
hyundai,i10,9,110699,dealer,petrol,manual,20.36,1197,78.9,5,194000.0
maruti,baleno,2,5000,individual,petrol,automatic,21.4,1197,83.1,5,686000.0
maruti,alto,5,50000,individual,petrol,manual,22.74,796,47.3,5,200000.0
maruti,swift dzire,11,44000,dealer,petrol,manual,19.1,1197,85.8,5,250000.0
maruti,vitara,3,90000,individual,diesel,manual,24.3,1248,88.5,5,730000.0
hyundai,verna,5,55000,dealer,petrol,manual,17.01,1591,121.3,5,650000.0
maruti,vitara,4,45000,dealer,diesel,manual,24.3,1248,88.5,5,790000.0
maruti,baleno,4,30000,individual,petrol,manual,21.4,1197,83.1,5,620000.0
hyundai,verna,8,50000,individual,petrol,manual,17.01,1591,121.3,5,510000.0
maruti,eeco,8,20000,individual,petrol,manual,15.37,1196,73.0,5,375000.0
maruti,swift dzire,4,19843,trustmark dealer,petrol,automatic,21.21,1197,81.8,5,620000.0
ford,endeavour,10,30000,individual,diesel,automatic,11.4,2953,153.86,7,950000.0
toyota,innova,4,52300,dealer,diesel,manual,13.68,2393,147.51,7,1450000.0
honda,city,5,40000,individual,petrol,automatic,18.0,1497,117.3,5,845000.0
maruti,swift dzire,7,61500,dealer,diesel,manual,23.4,1248,74.0,5,390000.0
honda,amaze,6,59000,dealer,petrol,manual,18.0,1198,86.7,5,395000.0
hyundai,grand,3,40000,individual,petrol,manual,18.9,1197,81.86,5,450000.0
audi,a6,8,60000,individual,diesel,automatic,17.68,1968,174.33,5,1700000.0
hyundai,grand,8,61000,dealer,petrol,manual,18.9,1197,82.0,5,325000.0
mahindra,kuv,5,70000,individual,diesel,manual,25.32,1198,77.0,6,350000.0
mahindra,xuv500,8,63000,dealer,diesel,manual,15.1,2179,140.0,7,650000.0
mercedes-benz,e-class,9,58000,dealer,petrol,manual,12.3,1796,185.0,5,1250000.0
maruti,swift dzire,4,22000,individual,diesel,manual,28.4,1248,74.02,5,750000.0
honda,city,11,57977,dealer,petrol,manual,17.0,1497,118.0,5,299000.0
land rover,rover,3,13000,dealer,petrol,automatic,12.19,1997,237.36,4,4544999.999999981
mini,cooper,9,67000,dealer,petrol,automatic,17.33,1998,189.08,4,1325000.0
maruti,ertiga,7,48242,dealer,diesel,manual,20.77,1248,88.76,7,524000.0
ford,figo,9,68000,dealer,diesel,manual,20.0,1399,68.05,5,169000.0
maruti,ertiga,7,40000,individual,diesel,manual,20.77,1248,88.8,7,500000.0
audi,q7,9,98000,dealer,diesel,automatic,12.07,2967,241.4,7,2000000.0
maruti,swift dzire,8,113450,individual,diesel,manual,23.4,1248,74.0,5,380000.0
maruti,wagon r,3,80000,individual,petrol,automatic,20.51,998,67.0,5,400000.0
hyundai,santro,1,1000,dealer,petrol,automatic,20.3,1086,68.0,5,565000.0
maruti,wagon r,6,20292,dealer,petrol,manual,20.51,998,67.04,5,335000.0
mahindra,scorpio,11,67900,dealer,diesel,manual,12.05,2179,120.0,7,300000.0
mahindra,scorpio,6,40000,dealer,diesel,manual,15.4,1997,120.0,7,1051000.0
hyundai,grand,4,60000,individual,diesel,manual,24.0,1186,73.97,5,510000.0
renault,kwid,3,25000,individual,petrol,automatic,24.04,999,67.0,5,370000.0
maruti,wagon r,15,70000,individual,petrol,manual,18.9,998,67.1,5,200000.0
maruti,baleno,3,21000,individual,diesel,manual,27.39,1248,74.0,5,625000.0
mahindra,scorpio,3,39000,dealer,diesel,manual,16.36,2179,140.0,7,1290000.0
hyundai,creta,4,30000,dealer,petrol,manual,15.8,1591,121.3,5,890000.0
hyundai,verna,9,61000,dealer,diesel,manual,22.32,1582,126.3,5,420000.0
maruti,swift,4,5743,trustmark dealer,petrol,manual,20.4,1197,83.11,5,500000.0
hyundai,grand,3,24200,individual,petrol,manual,18.9,1197,81.86,5,600000.0
maruti,baleno,4,57000,individual,diesel,manual,27.39,1248,74.0,5,590000.0
hyundai,i10,10,58000,dealer,petrol,manual,20.36,1197,78.9,5,190000.0
datsun,go,4,15000,individual,petrol,manual,19.44,1198,67.0,7,500000.0
maruti,celerio,4,10000,individual,petrol,manual,23.1,998,67.04,5,450000.0
mahindra,xuv500,6,100000,individual,diesel,manual,15.1,2179,140.0,7,650000.0
bmw,z4,1,2000,dealer,petrol,automatic,11.29,2998,335.0,2,4544999.999999981
maruti,wagon r,1,10000,individual,petrol,manual,20.52,1197,81.8,5,500000.0
maruti,alto,12,43000,individual,petrol,manual,19.7,796,46.3,5,140000.0
honda,amaze,8,64000,dealer,cng,manual,18.0,1198,86.7,5,349000.0
maruti,wagon r,7,30000,individual,petrol,manual,20.51,998,67.06,5,325000.0
honda,city,7,63000,dealer,petrol,manual,17.8,1497,117.3,5,435000.0
maruti,celerio,3,28000,dealer,cng,manual,31.79,998,58.33,5,455000.0
land rover,rover,3,25000,individual,petrol,automatic,9.17,2995,335.25,7,4544999.999999981
honda,city,4,32226,dealer,petrol,manual,17.8,1497,117.3,5,755000.0
maruti,alto,7,65000,individual,petrol,manual,23.95,998,67.05,5,245000.0
kia,seltos,2,14000,dealer,diesel,manual,20.8,1493,113.4,5,1350000.0
renault,kwid,3,15000,individual,petrol,automatic,24.04,999,67.0,5,310000.0
bmw,6,3,30000,individual,petrol,automatic,14.28,1998,254.7,4,4544999.999999981
maruti,swift dzire,3,32000,dealer,diesel,manual,19.3,1248,73.9,5,675000.0
maruti,wagon r,2,30000,individual,petrol,manual,20.52,1197,81.8,5,500000.0
hyundai,i10,11,25000,individual,petrol,manual,20.36,1197,78.9,5,300000.0
mahindra,scorpio,5,35000,individual,diesel,automatic,15.4,2179,120.0,7,1450000.0
mahindra,scorpio,8,140000,individual,diesel,manual,12.05,2179,120.0,8,530000.0
ford,ecosport,7,65597,trustmark dealer,diesel,manual,22.7,1498,89.84,5,575000.0
hyundai,i20,4,35000,individual,petrol,manual,18.6,1197,81.83,5,550000.0
maruti,ciaz,7,160000,individual,diesel,manual,26.21,1248,88.5,5,500000.0
maruti,baleno,1,7124,individual,petrol,manual,21.01,1197,81.8,5,643000.0
ford,ecosport,2,15000,individual,petrol,manual,18.1,999,123.24,5,1000000.0
